method,iteration,learning_rate,batch_size,num_blocks,filters_1,filters_2,filters_3,kernel_size,dropout,dense_units,val_accuracy,val_loss,test_accuracy,test_loss,time_sec,num_params,optimizer,weight_decay,use_batch_norm,generation,individual_in_generation,pso_iteration,particle,aco_iteration,ant,hs_phase,memory_index,hs_iteration,dataset,seed
manual_search,1,0.001,64,2,32,64,128,3,0.25,128,0.9326666666666666,0.1774456167022387,0.9275,0.19854512555599213,54.294734716415405,468202,,,,,,,,,,,,,FashionMNIST,42
manual_search,2,0.0005,128,2,32,64,128,3,0.3,256,0.9305,0.1855866012175878,0.925,0.20420186579227448,41.67477059364319,871018,,,,,,,,,,,,,FashionMNIST,42
manual_search,3,0.001,64,3,32,64,128,3,0.35,128,0.9308333333333333,0.18498687456051507,0.9243,0.21012480638027192,91.35409474372864,436202,,,,,,,,,,,,,FashionMNIST,42
manual_search,4,0.0002,128,3,64,128,256,3,0.4,256,0.9365,0.18494035518169402,0.9251,0.21060953752994538,80.10870099067688,1738698,,,,,,,,,,,,,FashionMNIST,42
manual_search,5,0.0008,32,1,32,64,128,5,0.2,128,0.9276666666666666,0.2134657146210472,0.9212,0.22992164833545684,94.09974908828735,830826,,,,,,,,,,,,,FashionMNIST,42
random_search,1,0.0019004375238737116,32,3,32,32,64,3,0.3682356070820062,256,0.8971666666666667,0.2791219119230906,0.8894,0.2887934206843376,113.53687024116516,233770,adamw,0.0004748306046370143,0.0,,,,,,,,,,FashionMNIST,42
random_search,2,0.0015169980582701848,32,1,16,32,64,3,0.2806225314693065,256,0.9306666666666666,0.20788506745547056,0.9252,0.23271227786242962,96.7338490486145,808186,adamw,0.0001270500735408539,1.0,,,,,,,,,,FashionMNIST,42
random_search,3,0.00027598230915285764,128,1,16,128,128,5,0.13893567083582092,64,0.8855,0.3249547220468521,0.8793,0.3306351418495178,30.540767192840576,208314,sgd,2.0259598275933324e-06,1.0,,,,,,,,,,FashionMNIST,42
random_search,4,0.0001561107296769821,128,3,32,32,256,5,0.26811404572735037,128,0.9266666666666666,0.20364399878184,0.9191,0.22589292672872543,65.86105251312256,2219050,adam,4.5302471291184675e-05,1.0,,,,,,,,,,FashionMNIST,42
random_search,5,0.001427921361121902,32,1,64,32,128,3,0.42765886050757346,64,0.9163333333333333,0.22992870789766312,0.9121,0.2448178813457489,73.87595987319946,841354,sgd,6.822142856256232e-06,1.0,,,,,,,,,,FashionMNIST,42
random_search,6,0.00021149893961648075,128,1,64,64,256,3,0.3045655028334941,64,0.9123333333333333,0.24875971281528472,0.9051,0.26100097756385804,34.79447412490845,841098,adamw,0.00015395024835516638,0.0,,,,,,,,,,FashionMNIST,42
random_search,7,0.0008404665310526154,128,3,64,128,64,5,0.4214259600949048,64,0.9258333333333333,0.19600073293844858,0.9176,0.21806229000091554,91.85028433799744,1064714,adam,0.0002920167626720552,1.0,,,,,,,,,,FashionMNIST,42
random_search,8,0.0006343509199762545,32,1,64,128,128,3,0.32771933264744,128,0.9328333333333333,0.19070512494444847,0.9303,0.21033683900535108,84.12263035774231,1644874,adamw,2.379882731492451e-05,1.0,,,,,,,,,,FashionMNIST,42
random_search,9,0.00019022195423001629,128,3,64,64,256,5,0.18099822185680547,64,0.91,0.2486962794860204,0.9024,0.2665802838742733,85.24349641799927,2505738,adamw,3.0237613021454307e-05,0.0,,,,,,,,,,FashionMNIST,42
random_search,10,0.005274797835850612,64,3,16,128,128,3,0.19238365583725003,256,0.8968333333333334,0.2747108430465062,0.8951,0.28254031682014463,61.33013343811035,761530,sgd,3.866722765081481e-05,0.0,,,,,,,,,,FashionMNIST,42
random_search,11,0.0022938595363362463,32,3,64,64,256,5,0.05577608679793822,128,0.925,0.19638087486475705,0.9154,0.2525940701454878,146.4258255958557,2655434,adam,2.2970535457474088e-05,1.0,,,,,,,,,,FashionMNIST,42
random_search,12,0.008785696523496332,64,3,16,128,128,3,0.0764196342748174,64,0.8643333333333333,0.38946871789296467,0.8564,0.39734891629219055,60.591081380844116,538234,adamw,0.000725269213838676,0.0,,,,,,,,,,FashionMNIST,42
random_search,13,0.0015772087178392035,256,1,16,64,128,3,0.028962583247093776,256,0.9238333333333333,0.229224971195062,0.9199,0.27806738567352296,28.587369441986084,808186,adam,1.8070091688765019e-06,1.0,,,,,,,,,,FashionMNIST,42
